path,name,ext,bytes,sr,duration,channels,subtype,label,class,rms,peak,silent_frac
Real_Audios\real_001.wav,real_001.wav,.wav,84509262,44100,479.0770068027211,2,PCM_16,0,real,0.014010249637067318,0.5981675386428833,0.012270833333333333
Real_Audios\real_002.wav,real_002.wav,.wav,382845006,44100,2170.322721088435,2,PCM_16,0,real,0.012835685163736343,0.7380588054656982,0.015520833333333333
Real_Audios\real_003.wav,real_003.wav,.wav,11853902,48000,61.73866666666667,2,PCM_16,0,real,0.12975133955478668,0.8353247046470642,0.038375
Real_Audios\real_004.wav,real_004.wav,.wav,6201422,48000,32.29866666666667,2,PCM_16,0,real,0.12626376748085022,0.7435550093650818,0.032677083333333336
Real_Audios\real_005.wav,real_005.wav,.wav,10759832,44100,60.99591836734694,2,PCM_16,0,real,0.12528562545776367,0.7652044892311096,0.0075
Real_Audios\real_006.wav,real_006.wav,.wav,5893784,44100,33.41061224489796,2,PCM_16,0,real,0.09819786250591278,0.770403265953064,0.00990625
Real_Audios\real_007.wav,real_007.wav,.wav,9259758,22050,209.97006802721089,1,PCM_16,0,real,0.0036228082608431578,0.05111828073859215,0.613375
Real_Audios\real_008.wav,real_008.wav,.wav,12243022,48000,63.76533333333333,2,PCM_16,0,real,0.03140515089035034,0.260434091091156,0.03432291666666667
Real_Audios\real_009.wav,real_009.wav,.wav,14319694,48000,74.58133333333333,2,PCM_16,0,real,0.02147000841796398,0.17391633987426758,0.03786458333333333
Real_Audios\real_010.wav,real_010.wav,.wav,10391192,44100,58.906122448979595,2,PCM_16,0,real,0.11802385747432709,0.7651479840278625,0.007427083333333333
Real_Audios\real_011.wav,real_011.wav,.wav,12487832,44100,70.79183673469387,2,PCM_16,0,real,0.07326029241085052,0.6161360144615173,0.0060416666666666665
Real_Audios\real_012.wav,real_012.wav,.wav,13721678,48000,71.46666666666667,2,PCM_16,0,real,0.06837382167577744,0.6974586844444275,0.03896875
Real_Audios\real_013.wav,real_013.wav,.wav,7356494,48000,38.31466666666667,2,PCM_16,0,real,0.10311497002840042,0.6932826638221741,0.03147916666666667
Real_Audios\real_014.wav,real_014.wav,.wav,17633358,48000,91.84,2,PCM_16,0,real,0.07381177693605423,0.5863076448440552,0.03721875
Real_Audios\real_015.wav,real_015.wav,.wav,7073432,44100,40.09795918367347,2,PCM_16,0,real,0.1152452751994133,0.7331414818763733,0.009104166666666667
Real_Audios\real_016.wav,real_016.wav,.wav,11372696,44100,64.47020408163266,2,PCM_16,0,real,0.12517210841178894,0.7183214426040649,0.007239583333333333
Real_Audios\real_017.wav,real_017.wav,.wav,16427672,44100,93.12653061224489,2,PCM_16,0,real,0.10663968324661255,0.7339684963226318,0.00621875
Real_Audios\real_018.wav,real_018.wav,.wav,11871464,22050,269.19242630385486,1,PCM_16,0,real,0.016044585034251213,0.4164004325866699,0.08298958333333334
Real_Audios\real_019.wav,real_019.wav,.wav,319566,24000,6.656,1,PCM_16,0,real,0.11412598192691803,0.6219680905342102,0.06266666666666666
Real_Audios\real_020.wav,real_020.wav,.wav,299086,24000,6.229333333333333,1,PCM_16,0,real,0.1046820804476738,0.6520459055900574,0.12658333333333333
Real_Audios\real_021.wav,real_021.wav,.wav,284750,24000,5.930666666666666,1,PCM_16,0,real,0.11461897939443588,0.6220979690551758,0.16952081862347324
Real_Audios\real_022.wav,real_022.wav,.wav,15487566,44100,175.59510204081633,1,PCM_16,0,real,0.2808211147785187,1.1911485195159912,0.0378125
Real_Audios\real_023.wav,real_023.wav,.wav,16102734,44100,182.56979591836733,1,PCM_16,0,real,0.33302950859069824,1.129902958869934,0.040979166666666664
Real_Audios\real_024.wav,real_024.wav,.wav,353774,16000,11.053,1,PCM_16,0,real,0.0145901283249259,0.130126953125,0.12957291666666668
Real_Audios\real_025.wav,real_025.wav,.wav,342246,16000,10.69275,1,PCM_16,0,real,0.01574486680328846,0.097137451171875,0.11815625
Real_Audios\real_026.wav,real_026.wav,.wav,408366,16000,12.759,1,PCM_16,0,real,0.030036792159080505,0.309906005859375,0.02634375
Real_Audios\real_027.wav,real_027.wav,.wav,410094,16000,12.813,1,PCM_16,0,real,0.053420428186655045,0.534576416015625,0.048927083333333336
Real_Audios\real_028.wav,real_028.wav,.wav,363470,16000,11.356,1,PCM_16,0,real,0.029414089396595955,0.31463623046875,0.10007291666666666
Real_Audios\real_029.wav,real_029.wav,.wav,338990,16000,10.591,1,PCM_16,0,real,0.024351000785827637,0.214813232421875,0.10283333333333333
Real_Audios\real_030.wav,real_030.wav,.wav,361966,16000,11.309,1,PCM_16,0,real,0.014629609882831573,0.132598876953125,0.13015625
Real_Audios\real_031.wav,real_031.wav,.wav,387758,16000,12.115,1,PCM_16,0,real,0.02511797659099102,0.304351806640625,0.08335416666666666
Real_Audios\real_032.wav,real_032.wav,.wav,399022,16000,12.467,1,PCM_16,0,real,0.010209353640675545,0.0926513671875,0.12709375
Real_Audios\real_033.wav,real_033.wav,.wav,385262,16000,12.037,1,PCM_16,0,real,0.02671365812420845,0.2476806640625,0.10721875
Real_Audios\real_034.wav,real_034.wav,.wav,11950606,22050,270.98702947845806,1,PCM_16,0,real,0.04186760261654854,0.5519548654556274,0.02276041666666667
Real_Audios\real_035.wav,real_035.wav,.wav,22634854,22050,513.2602267573697,1,PCM_16,0,real,0.010202995501458645,0.07056047022342682,0.5120520833333333
Real_Audios\real_036.wav,real_036.wav,.wav,11554894,22050,262.01396825396824,1,PCM_16,0,real,0.003003455698490143,0.033518947660923004,0.5331354166666666
Real_Audios\real_037.wav,real_037.wav,.wav,27858264,22050,631.7048979591837,1,PCM_16,0,real,0.04839562624692917,0.3203219771385193,0.004375
Real_Audios\real_038.wav,real_038.wav,.wav,301134,24000,6.272,1,PCM_16,0,real,0.10818764567375183,0.5692980289459229,0.13215625
Real_Audios\real_039.wav,real_039.wav,.wav,18116574,44100,205.40244897959184,1,PCM_16,0,real,0.2117779701948166,1.0294893980026245,0.01075
Real_Audios\real_040.wav,real_040.wav,.wav,17536734,44100,198.8282993197279,1,PCM_16,0,real,0.2745869755744934,1.0357283353805542,0.010364583333333333
Real_Audios\real_041.wav,real_041.wav,.wav,682062,48000,7.104,1,PCM_16,0,real,0.10179213434457779,0.6335985660552979,0.07123958333333333
Real_Audios\real_042.wav,real_042.wav,.wav,18952270,48000,98.70933333333333,2,PCM_16,0,real,0.003821877995505929,0.020793356001377106,0.043916666666666666
Real_Audios\real_043.wav,real_043.wav,.wav,24526926,48000,127.744,2,PCM_16,0,real,0.005780091043561697,0.06116722524166107,0.04590625
